Keyword counts:
frowning: 3
encased: 1
hale: 1
glooms: 2
half: 31
spilling: 1
belligerent: 2
plumes: 1
abrupt: 3
shooting: 4
disapproval: 2
hall: 1
halo: 2
salary: 1
tea: 2
drunk: 17
installments: 1
pick: 2
gloomy: 7
rattled: 1
coals: 4
sake: 4
exhaled: 1
daring: 1
energy: 8
ter: 781
spreading: 3
require: 2
tallow: 4
willow: 3
walkin: 2
dismayed: 3
goin: 94
telling: 3
hang: 7
joltin: 1
vengeance: 2
gleams: 2
cliff: 12
fearless: 1
hank: 1
roll: 1
thievin: 3
concede: 1
turn: 14
blond: 1
gold: 11
result: 5
cer: 1
opposition: 2
selfish: 2
hand: 92
b: 12
salt: 2
c: 4
d: 28
bevies: 1
e: 23
posture: 1
f: 11
laden: 5
sombre: 11
spiral: 1
artistic: 2
weeping: 3
l: 12
m: 50
blood: 20
neighbor: 4
n: 124
effrontery: 1
o: 163
straight: 4
entering: 2
r: 2
s: 535
t: 463
plumed: 1
u: 7
enchantment: 1
sunset: 13
exciting: 1
paralytic: 1
obvious: 1
regain: 1
information: 10
dogged: 3
reeled: 2
november: 2
ennythink: 1
reopened: 1
sifflicated: 1
thy: 2
resolve: 2
ennything: 2
good: 62
favior: 1
faithful: 3
pigs: 4
skeleton: 2
tie: 1
suffered: 1
gumption: 1
shingles: 1
flaring: 1
tin: 1
copying: 4
tim: 2
hallucinations: 1
laugh: 6
predicted: 2
rivets: 2
cinder: 1
quickening: 1
fantasy: 1
puddler: 1
gone: 30
sane: 1
sand: 1
walked: 16
owed: 2
aside: 5
gorgeous: 7
projecting: 3
sank: 5
harm: 6
blotted: 1
provided: 4
clinging: 2
hart: 1
lilac: 1
ascent: 8
flannel: 1
motive: 3
thieves: 1
shrinks: 1
hard: 36
multiply: 1
hauteur: 1
roof: 5
quarters: 1
rood: 2
valueless: 1
room: 28
better: 50
haggard: 6
poignant: 1
suitable: 1
taking: 1
romance: 3
terrifying: 1
fountain: 1
breadth: 1
voters: 1
pile: 1
immortal: 1
signatures: 1
chilly: 1
conjecture: 2
flashing: 2
struck: 8
sass: 3
flow: 3
order: 2
pressed: 2
indelible: 1
timid: 1
traveling: 1
exertion: 1
propose: 1
angular: 1
radiations: 1
fallow: 1
presses: 1
malevolent: 1
derangement: 1
ensue: 2
indecision: 1
women: 11
pink: 5
baying: 2
woman: 41
pine: 25
poetically: 1
save: 15
pint: 1
dizzying: 1
combatants: 1
footsteps: 4
inexpressive: 1
frankly: 1
hypertext: 1
tom: 33
belligerents: 1
casting: 2
tow: 4
jagged: 2
avail: 5
famous: 1
question: 11
additions: 1
spirit: 20
intellectual: 4
wishing: 1
picture: 6
sarcastic: 2
wunst: 14
sati: 4
cob: 3
regard: 2
catamount: 2
warmed: 2
rose: 38
thousand: 4
sylvan: 1
grudged: 2
tortured: 1
cor: 4
cow: 16
coy: 1
abilities: 2
quietude: 2
despondently: 1
owns: 3
pipe: 10
joyously: 1
graced: 1
circumstances: 4
timed: 1
including: 9
ridgepole: 1
pardon: 6
plenty: 4
whelmed: 1
cleaver: 44
anew: 4
squarin: 1
mounting: 118
indistinguishable: 1
try: 10
longside: 2
hawk: 3
constituted: 2
rarity: 1
chicken: 3
unenforceability: 1
hazy: 2
sorrel: 2
renowned: 1
times: 6
footed: 2
haze: 9
exhorted: 1
says: 5
direction: 3
comments: 1
porcine: 1
distended: 3
fattes: 1
sensuous: 1
merchantability: 1
clamor: 1
impatience: 2
unfamiliar: 2
grapple: 1
piteously: 3
impelled: 2
sketch: 2
respond: 1
incident: 2
